dataset	shot	status	accuracy	accuracy_std	num_runs
SonyAIBORobotSurface1	1	success	0.6722045362	0.0682298225	5
SonyAIBORobotSurface1	10	success	0.7804410214	0.0495896206	5
SonyAIBORobotSurface1	2	success	0.6972307706	0.0722712656	5
SonyAIBORobotSurface1	5	success	0.7088216278	0.0612895750	5
SonyAIBORobotSurface2	1	success	0.6212441565	0.0633433049	5
SonyAIBORobotSurface2	10	success	0.7587230986	0.0473982622	5
SonyAIBORobotSurface2	2	success	0.6768457229	0.0366722124	5
SonyAIBORobotSurface2	5	success	0.7387471201	0.0379177975	5
StarLightCurves	1	success	0.6424256507	0.0559726196	5
StarLightCurves	10	success	0.8239075124	0.0484326969	5
StarLightCurves	2	success	0.7725149933	0.0473728131	5
StarLightCurves	5	success	0.8565152192	0.0360384635	5
Strawberry	1	success	0.5405203710	0.0655954965	5
Strawberry	10	success	0.5973284145	0.0532504332	5
Strawberry	2	success	0.5459421025	0.0379011742	5
Strawberry	5	success	0.5297375017	0.0313439162	5
SwedishLeaf	1	success	0.5296359484	0.0538223301	5
SwedishLeaf	10	success	0.7424322235	0.0463614141	5
SwedishLeaf	2	success	0.5648407259	0.0798825002	5
SwedishLeaf	5	success	0.7264369459	0.0575006770	5
Symbols	1	success	0.8603309406	0.0647599698	5
Symbols	10	success	0.7698419378	0.0474098819	5
Symbols	2	success	0.8010255711	0.0813603550	5
Symbols	5	success	0.9116478349	0.0670594357	5
SyntheticControl	1	success	0.7500428203	0.0585184840	5
SyntheticControl	10	success	0.9067282635	0.0509353370	5
SyntheticControl	2	success	0.8067470301	0.0366405615	5
SyntheticControl	5	success	0.9033283905	0.0501439509	5
ToeSegmentation1	1	success	0.6711423650	0.0602678199	5
ToeSegmentation1	10	success	0.7675312018	0.0478412618	5
ToeSegmentation1	2	success	0.6798459440	0.0446616560	5
ToeSegmentation1	5	success	0.6754116577	0.0408685350	5
ToeSegmentation2	1	success	0.6923243230	0.0551921554	5
ToeSegmentation2	10	success	0.7077213683	0.0533280805	5
ToeSegmentation2	2	success	0.7000458391	0.0310373289	5
ToeSegmentation2	5	success	0.6692399432	0.0700322819	5
Trace	1	success	0.9700268590	0.0669118464	5
Trace	10	success	0.9999802767	0.0475456686	5
Trace	2	success	0.9999748149	0.0402296421	5
Trace	5	success	0.9999914568	0.0549742102	5
TwoLeadECG	1	success	0.6230026339	0.0515185590	5
TwoLeadECG	10	success	0.7933274802	0.0536262292	5
TwoLeadECG	2	success	0.6414398595	0.1033940908	5
TwoLeadECG	5	success	0.7041264267	0.0716468478	5
TwoPatterns	1	success	0.3808000000	0.0318145996	5
TwoPatterns	10	success	0.6704500000	0.0773717487	5
TwoPatterns	2	success	0.4042000000	0.0448296777	5
TwoPatterns	5	success	0.5118500000	0.0447753420	5
UMD	1	success	0.6791666667	0.1110459879	5
UMD	10	success	0.8180555556	0.0283789121	5
UMD	2	success	0.7402777778	0.0504608392	5
UMD	5	success	0.7986111111	0.0678639593	5
UWaveGestureLibraryAll	1	success	0.3166387493	0.0395808768	5
UWaveGestureLibraryAll	10	success	0.5164712451	0.0285379106	5
UWaveGestureLibraryAll	2	success	0.3855946399	0.0266339559	5
UWaveGestureLibraryAll	5	success	0.4642657733	0.0346383513	5
UWaveGestureLibraryX	1	success	0.3466778336	0.0514056407	5
